record_id	record_type	lemma	source_primary	quality_tier	missing_fields	details
LX-ef7b289959	lexeme	אִבְטֵחַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-31c701a1d6	lexeme	אִחֵד	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-202db61ffe	lexeme	אֻבְטַח	unimorph_heb	QUESTIONABLE	root_id|binyan|infinitive_vocalized|gloss_en	NO_MATCH
LX-cd0c117aac	lexeme	בִּכָּה	unimorph_heb	SILVER	gloss_en	MATCHED
LX-c8a888740b	lexeme	בִּלְבֵּל	unimorph_heb	SILVER	gloss_en	MATCHED
LX-479fe41b4f	lexeme	בֵּאֵס	unimorph_heb	GOLD	gloss_en	MATCHED
LX-2fc0487e27	lexeme	בֻּטַּל	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-e9ecf1fa4a	lexeme	בֻּטָּא	unimorph_heb	GOLD	infinitive_vocalized|gloss_en	MATCHED
LX-819d01186a	lexeme	גֻּלָּה	unimorph_heb	SILVER	infinitive_vocalized	MATCHED
LX-63e472a7fb	lexeme	דִּכֵּא	unimorph_heb	SILVER	gloss_en	MATCHED
LX-bd8d081d7a	lexeme	דֻּכָּא	unimorph_heb	SILVER	infinitive_vocalized|gloss_en	MATCHED
LX-67c9dc861d	lexeme	הִבְלִיעַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-0365751b4c	lexeme	הִדְלִיק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-10a8c597e8	lexeme	הִזְכִּיר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-41a9722335	lexeme	הִכְשִׁיר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-915582e34b	lexeme	הִסְבִּיר	unimorph_heb	SILVER	gloss_en	MATCHED
LX-c24a551a7f	lexeme	הִסִּיעַ	unimorph_heb	GOLD	gloss_en	MATCHED
LX-5e2a89adb9	lexeme	הִפְחִיד	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-47455ab9cc	lexeme	הִפְלִיא	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-adc89f33e5	lexeme	הִפְלִיץ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-6192a7a203	lexeme	הִצְחִיק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-722e83ef24	lexeme	הִקְבִּיל	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-f6dee4dee4	lexeme	הִקְרִיס	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-dfdc540224	lexeme	הִרְחִיק	unimorph_heb	SILVER	gloss_en	MATCHED
LX-0860796507	lexeme	הִשְׁלִיט	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-1c873da7a6	lexeme	הִשְׁמִיד	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-b6dd4ef5a9	lexeme	הִשְׁפִּיעַ	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-fdc31b123d	lexeme	הִתְאַבֵּךְ	unimorph_heb	SILVER	gloss_en	MATCHED
LX-b5f86cb852	lexeme	הִתְאַבֵּל	unimorph_heb	QUESTIONABLE	root_id|binyan|gloss_en	NO_MATCH
LX-b33353af4e	lexeme	הִתְבַּטֵּא	unimorph_heb	SILVER	gloss_en	MATCHED
