view	split	strategy	seed	partition	examples_voc	examples_unv	pair_ids	forms	lexemes	roots	orthographic_root_groups	root_binyan_pairs	targets_identical_to_an_exposed_form_voc	targets_identical_to_an_exposed_form_unv
past_reinflection	iid_seed0	iid	0	train	44800	44800	44800	44800	7000	1000	1000	7000		
past_reinflection	iid_seed0	iid	0	dev	5600	5600	5600	5600	4009	996	996	4009		
past_reinflection	iid_seed0	iid	0	test	5600	5600	5600	5600	3987	997	997	3987		
past_reinflection	lexeme_holdout_seed0	lexeme_holdout	0	train	44800	44800	44800	44800	5600	1000	1000	5600		
past_reinflection	lexeme_holdout_seed0	lexeme_holdout	0	dev	5600	5600	5600	5600	700	512	512	700		
past_reinflection	lexeme_holdout_seed0	lexeme_holdout	0	test	5600	5600	5600	5600	700	521	521	700		
past_reinflection	root_holdout_seed0	root_holdout	0	train	44800	44800	44800	44800	5600	800	800	5600		
past_reinflection	root_holdout_seed0	root_holdout	0	dev	5600	5600	5600	5600	700	100	100	700		
past_reinflection	root_holdout_seed0	root_holdout	0	test	5600	5600	5600	5600	700	100	100	700		
past_reinflection	root_binyan_holdout_seed0	root_binyan_holdout	0	train	44800	44800	44800	44800	5600	1000	1000	5600		
past_reinflection	root_binyan_holdout_seed0	root_binyan_holdout	0	dev	5600	5600	5600	5600	700	527	527	700		
past_reinflection	root_binyan_holdout_seed0	root_binyan_holdout	0	test	5600	5600	5600	5600	700	531	531	700		
past_reinflection	cell_k2_seed0	cell_k	0	train	7000	7000	7000	7000	7000	1000	1000	7000		
past_reinflection	cell_k2_seed0	cell_k	0	dev	4900	4900	4900	4900	700	514	514	700	0.0	171.0
past_reinflection	cell_k2_seed0	cell_k	0	test	44100	44100	44100	44100	6300	1000	1000	6300	0.0	1551.0
past_reinflection	cell_k4_seed0	cell_k	0	train	21000	21000	21000	21000	7000	1000	1000	7000		
past_reinflection	cell_k4_seed0	cell_k	0	dev	3500	3500	3500	3500	700	519	519	700	0.0	372.0
past_reinflection	cell_k4_seed0	cell_k	0	test	31500	31500	31500	31500	6300	1000	1000	6300	0.0	3411.0
past_reinflection	cell_k6_seed0	cell_k	0	train	35000	35000	35000	35000	7000	1000	1000	7000		
past_reinflection	cell_k6_seed0	cell_k	0	dev	2100	2100	2100	2100	700	530	530	700	0.0	366.0
past_reinflection	cell_k6_seed0	cell_k	0	test	18900	18900	18900	18900	6300	1000	1000	6300	0.0	3377.0
past_reinflection	cell_k8_seed0	cell_k	0	train	49000	49000	49000	49000	7000	1000	1000	7000		
past_reinflection	cell_k8_seed0	cell_k	0	dev	700	700	700	700	700	520	520	700	0.0	173.0
past_reinflection	cell_k8_seed0	cell_k	0	test	6300	6300	6300	6300	6300	1000	1000	6300	0.0	1586.0
past_reinflection	iid_seed1	iid	1	train	44800	44800	44800	44800	7000	1000	1000	7000		
past_reinflection	iid_seed1	iid	1	dev	5600	5600	5600	5600	3936	997	997	3936		
past_reinflection	iid_seed1	iid	1	test	5600	5600	5600	5600	3992	997	997	3992		
past_reinflection	lexeme_holdout_seed1	lexeme_holdout	1	train	44800	44800	44800	44800	5600	1000	1000	5600		
past_reinflection	lexeme_holdout_seed1	lexeme_holdout	1	dev	5600	5600	5600	5600	700	510	510	700		
past_reinflection	lexeme_holdout_seed1	lexeme_holdout	1	test	5600	5600	5600	5600	700	514	514	700		
past_reinflection	root_holdout_seed1	root_holdout	1	train	44800	44800	44800	44800	5600	800	800	5600		
past_reinflection	root_holdout_seed1	root_holdout	1	dev	5600	5600	5600	5600	700	100	100	700		
past_reinflection	root_holdout_seed1	root_holdout	1	test	5600	5600	5600	5600	700	100	100	700		
past_reinflection	root_binyan_holdout_seed1	root_binyan_holdout	1	train	44800	44800	44800	44800	5600	1000	1000	5600		
past_reinflection	root_binyan_holdout_seed1	root_binyan_holdout	1	dev	5600	5600	5600	5600	700	532	532	700		
past_reinflection	root_binyan_holdout_seed1	root_binyan_holdout	1	test	5600	5600	5600	5600	700	516	516	700		
past_reinflection	cell_k2_seed1	cell_k	1	train	7000	7000	7000	7000	7000	1000	1000	7000		
past_reinflection	cell_k2_seed1	cell_k	1	dev	4900	4900	4900	4900	700	518	518	700	0.0	175.0
