conflict_type	record_type	record_id	lemma	details	candidates	sources
WIKT_FORM_MISMATCH	form	LX-2fc0487e27.FUT.3MSG	בֻּטַּל	UniMorph יְבֻטַּל vs Wiktionary יְבֻטָּל		wikt:conj:p57744:r520831:t0:פועל עתיד
WIKT_FORM_MISMATCH	form	LX-4ba42bef9c.FUT.3MSG	גָּזַר	UniMorph יִגְזֹר vs Wiktionary יִגְּזֹר		wikt:conj:p33663:r445479:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-17e67356d1.FUT.3MSG	גָּנַב	UniMorph יִגְנֹב vs Wiktionary יִגְנׁב		wikt:conj:p22289:r234785:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-17e67356d1.IMP.2MSG	גָּנַב	UniMorph גְּנֹב vs Wiktionary גְּנׁב		wikt:conj:p22289:r234785:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-17e67356d1.NFIN	גָּנַב	UniMorph לִגְנֹב vs Wiktionary לִגְנׁב		wikt:conj:p22289:r234785:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-42b57ae79e.FUT.3MSG	דָּפַק	UniMorph יִדְפֹק vs Wiktionary יִדְפֹּק		wikt:conj:p31106:r519860:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-42b57ae79e.NFIN	דָּפַק	UniMorph לִדְפֹק vs Wiktionary לִדְפֹּק		wikt:conj:p31106:r519860:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-6192a7a203.IMP.2MSG	הִצְחִיק	UniMorph הַצְחֵק vs Wiktionary הַצְחִיק		wikt:conj:p46466:r518942:t0:הפעיל ציווי
WIKT_FORM_MISMATCH	form	LX-6b0d107388.IMP.2MSG	הִצְלִיחַ	UniMorph הַצְלֵחַ vs Wiktionary הַצְלַח		wikt:conj:p45609:r237259:t0:הפעיל ציווי
CELL_CONFLICT_UNVOCALIZED	form	LX-828b91b0c3.FUT.3FPL	הִתְוַכֵּחַ	several plene spellings for one lexeme x cell: תתוכחנה | תתווכחנה		heb:4309|heb:21714
