example_id	pair_id	condition	lexeme_id	source_form	source_cell	target_cell	target_features	target_form	analysis__root_id	analysis__root	analysis__root_orthographic	analysis__orthographic_root_group_id	analysis__root_length	analysis__binyan	analysis__root_binyan_key	analysis__structural_class	analysis__structural_signature	analysis__traditional_class	analysis__sc_strong	analysis__sc_final_he	analysis__sc_hollow_candidate	analysis__sc_initial_nun	analysis__sc_initial_yod_waw	analysis__sc_geminate	analysis__sc_guttural_containing	analysis__sc_quadriliteral	analysis__lemma_vocalized	analysis__lexeme_quality_tier	analysis__source_form_quality_tier	analysis__target_form_quality_tier	analysis__example_quality_tier	analysis__eligible_default	analysis__source_form_id	analysis__target_form_id	analysis__source_ids	analysis__lexeme_source_primary	analysis__target_is_syncretic	analysis__target_syncretism_group	analysis__target_same_form_past_cells	analysis__source_equals_target	analysis__target_form_length
PR:unv:LX-00018e7d56:PST.3MSG>PST.1SG	LX-00018e7d56:PST.3MSG>PST.1SG	unv	LX-00018e7d56	כאב	PST.3MSG	PST.1SG	PST,1,SG	כאבתי	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.1SG	heb_voc:25084|heb:24902|heb_voc:25087|heb:24913	unimorph_heb	False		PST.1SG	False	5
PR:unv:LX-00018e7d56:PST.3MSG>PST.2MSG	LX-00018e7d56:PST.3MSG>PST.2MSG	unv	LX-00018e7d56	כאב	PST.3MSG	PST.2MSG	PST,2,SG,MASC	כאבת	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2MSG	heb_voc:25084|heb:24902|heb_voc:25088|heb:24911	unimorph_heb	True	LX-00018e7d56:U1	PST.2MSG|PST.2FSG	False	4
PR:unv:LX-00018e7d56:PST.3MSG>PST.2FSG	LX-00018e7d56:PST.3MSG>PST.2FSG	unv	LX-00018e7d56	כאב	PST.3MSG	PST.2FSG	PST,2,SG,FEM	כאבת	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2FSG	heb_voc:25084|heb:24902|heb_voc:25086|heb:24912	unimorph_heb	True	LX-00018e7d56:U1	PST.2MSG|PST.2FSG	False	4
PR:unv:LX-00018e7d56:PST.3MSG>PST.3FSG	LX-00018e7d56:PST.3MSG>PST.3FSG	unv	LX-00018e7d56	כאב	PST.3MSG	PST.3FSG	PST,3,SG,FEM	כאבה	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.3FSG	heb_voc:25084|heb:24902|heb_voc:25082|heb:24905	unimorph_heb	False		PST.3FSG	False	4
PR:unv:LX-00018e7d56:PST.3MSG>PST.1PL	LX-00018e7d56:PST.3MSG>PST.1PL	unv	LX-00018e7d56	כאב	PST.3MSG	PST.1PL	PST,1,PL	כאבנו	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.1PL	heb_voc:25084|heb:24902|heb_voc:25085|heb:24910	unimorph_heb	False		PST.1PL	False	5
PR:unv:LX-00018e7d56:PST.3MSG>PST.2MPL	LX-00018e7d56:PST.3MSG>PST.2MPL	unv	LX-00018e7d56	כאב	PST.3MSG	PST.2MPL	PST,2,PL,MASC	כאבתם	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2MPL	heb_voc:25084|heb:24902|heb_voc:25078|heb:24914	unimorph_heb	False		PST.2MPL	False	5
PR:unv:LX-00018e7d56:PST.3MSG>PST.2FPL	LX-00018e7d56:PST.3MSG>PST.2FPL	unv	LX-00018e7d56	כאב	PST.3MSG	PST.2FPL	PST,2,PL,FEM	כאבתן	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2FPL	heb_voc:25084|heb:24902|heb_voc:25079|heb:24915	unimorph_heb	False		PST.2FPL	False	5
PR:unv:LX-00018e7d56:PST.3MSG>PST.3PL	LX-00018e7d56:PST.3MSG>PST.3PL	unv	LX-00018e7d56	כאב	PST.3MSG	PST.3PL	PST,3,PL	כאבו	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.3PL	heb_voc:25084|heb:24902|heb_voc:25083|heb:24906	unimorph_heb	True	LX-00018e7d56:U3	PST.3PL	False	4
PR:voc:LX-00018e7d56:PST.3MSG>PST.1SG	LX-00018e7d56:PST.3MSG>PST.1SG	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.1SG	PST,1,SG	כָּאַבְתִּי	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.1SG	heb_voc:25084|heb:24902|heb_voc:25087|heb:24913	unimorph_heb	False		PST.1SG	False	11
PR:voc:LX-00018e7d56:PST.3MSG>PST.2MSG	LX-00018e7d56:PST.3MSG>PST.2MSG	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.2MSG	PST,2,SG,MASC	כָּאַבְתָּ	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2MSG	heb_voc:25084|heb:24902|heb_voc:25088|heb:24911	unimorph_heb	False		PST.2MSG	False	10
PR:voc:LX-00018e7d56:PST.3MSG>PST.2FSG	LX-00018e7d56:PST.3MSG>PST.2FSG	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.2FSG	PST,2,SG,FEM	כָּאַבְתְּ	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2FSG	heb_voc:25084|heb:24902|heb_voc:25086|heb:24912	unimorph_heb	False		PST.2FSG	False	10
PR:voc:LX-00018e7d56:PST.3MSG>PST.3FSG	LX-00018e7d56:PST.3MSG>PST.3FSG	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.3FSG	PST,3,SG,FEM	כָּאֲבָה	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.3FSG	heb_voc:25084|heb:24902|heb_voc:25082|heb:24905	unimorph_heb	False		PST.3FSG	False	8
PR:voc:LX-00018e7d56:PST.3MSG>PST.1PL	LX-00018e7d56:PST.3MSG>PST.1PL	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.1PL	PST,1,PL	כָּאַבְנוּ	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.1PL	heb_voc:25084|heb:24902|heb_voc:25085|heb:24910	unimorph_heb	False		PST.1PL	False	10
PR:voc:LX-00018e7d56:PST.3MSG>PST.2MPL	LX-00018e7d56:PST.3MSG>PST.2MPL	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.2MPL	PST,2,PL,MASC	כְּאַבְתֶּם	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2MPL	heb_voc:25084|heb:24902|heb_voc:25078|heb:24914	unimorph_heb	False		PST.2MPL	False	11
PR:voc:LX-00018e7d56:PST.3MSG>PST.2FPL	LX-00018e7d56:PST.3MSG>PST.2FPL	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.2FPL	PST,2,PL,FEM	כְּאַבְתֶּן	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.2FPL	heb_voc:25084|heb:24902|heb_voc:25079|heb:24915	unimorph_heb	False		PST.2FPL	False	11
PR:voc:LX-00018e7d56:PST.3MSG>PST.3PL	LX-00018e7d56:PST.3MSG>PST.3PL	voc	LX-00018e7d56	כָּאַב	PST.3MSG	PST.3PL	PST,3,PL	כָּאֲבוּ	RT-0891939731	כאב	כאב	RG-0891939731	3	PAAL	RT-0891939731|PAAL	guttural_containing	C.A.C		False	False	False	False	False	False	True	False	כָּאַב	SILVER	SILVER	SILVER	SILVER	True	LX-00018e7d56.PST.3MSG	LX-00018e7d56.PST.3PL	heb_voc:25084|heb:24902|heb_voc:25083|heb:24906	unimorph_heb	False		PST.3PL	False	8
PR:unv:LX-001c057dd4:PST.3MSG>PST.1SG	LX-001c057dd4:PST.3MSG>PST.1SG	unv	LX-001c057dd4	הניח	PST.3MSG	PST.1SG	PST,1,SG	הנחתי	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.1SG	heb_voc:21453|heb:18600|heb_voc:21458|heb:18597	unimorph_heb	False		PST.1SG	False	5
PR:unv:LX-001c057dd4:PST.3MSG>PST.2MSG	LX-001c057dd4:PST.3MSG>PST.2MSG	unv	LX-001c057dd4	הניח	PST.3MSG	PST.2MSG	PST,2,SG,MASC	הנחת	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2MSG	heb_voc:21453|heb:18600|heb_voc:21459|heb:18595	unimorph_heb	True	LX-001c057dd4:U1	PST.2MSG|PST.2FSG	False	4
PR:unv:LX-001c057dd4:PST.3MSG>PST.2FSG	LX-001c057dd4:PST.3MSG>PST.2FSG	unv	LX-001c057dd4	הניח	PST.3MSG	PST.2FSG	PST,2,SG,FEM	הנחת	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2FSG	heb_voc:21453|heb:18600|heb_voc:21457|heb:18596	unimorph_heb	True	LX-001c057dd4:U1	PST.2MSG|PST.2FSG	False	4
PR:unv:LX-001c057dd4:PST.3MSG>PST.3FSG	LX-001c057dd4:PST.3MSG>PST.3FSG	unv	LX-001c057dd4	הניח	PST.3MSG	PST.3FSG	PST,3,SG,FEM	הניחה	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.3FSG	heb_voc:21453|heb:18600|heb_voc:21454|heb:18601	unimorph_heb	False		PST.3FSG	False	5
PR:unv:LX-001c057dd4:PST.3MSG>PST.1PL	LX-001c057dd4:PST.3MSG>PST.1PL	unv	LX-001c057dd4	הניח	PST.3MSG	PST.1PL	PST,1,PL	הנחנו	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.1PL	heb_voc:21453|heb:18600|heb_voc:21456|heb:18594	unimorph_heb	False		PST.1PL	False	5
PR:unv:LX-001c057dd4:PST.3MSG>PST.2MPL	LX-001c057dd4:PST.3MSG>PST.2MPL	unv	LX-001c057dd4	הניח	PST.3MSG	PST.2MPL	PST,2,PL,MASC	הנחתם	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2MPL	heb_voc:21453|heb:18600|heb_voc:21450|heb:18598	unimorph_heb	False		PST.2MPL	False	5
PR:unv:LX-001c057dd4:PST.3MSG>PST.2FPL	LX-001c057dd4:PST.3MSG>PST.2FPL	unv	LX-001c057dd4	הניח	PST.3MSG	PST.2FPL	PST,2,PL,FEM	הנחתן	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.2FPL	heb_voc:21453|heb:18600|heb_voc:21451|heb:18599	unimorph_heb	False		PST.2FPL	False	5
PR:unv:LX-001c057dd4:PST.3MSG>PST.3PL	LX-001c057dd4:PST.3MSG>PST.3PL	unv	LX-001c057dd4	הניח	PST.3MSG	PST.3PL	PST,3,PL	הניחו	RT-229e7b0bec	נוח	נוח	RG-229e7b0bec	3	HIFIL	RT-229e7b0bec|HIFIL	hollow_candidate	N.W.X	AYIN_WAW_YOD	False	False	True	True	False	False	True	False	הֵנִיחַ	SILVER	SILVER	SILVER	SILVER	True	LX-001c057dd4.PST.3MSG	LX-001c057dd4.PST.3PL	heb_voc:21453|heb:18600|heb_voc:21455|heb:18602	unimorph_heb	True	LX-001c057dd4:U2	PST.3PL	False	5
