lexeme_id	lemma_vocalized	binyan	source_primary	quality_tier	past_observed_cells	past_completeness	missing_past_cells
LX-ef7b289959	אִבְטֵחַ		unimorph_heb	QUESTIONABLE	9	1.0	
LX-31c701a1d6	אִחֵד		unimorph_heb	QUESTIONABLE	9	1.0	
LX-8f1e02a14f	אָבַד	PAAL	unimorph_heb	GOLD	9	1.0	
LX-d0cbfb1ff3	אָגַר	PAAL	unimorph_heb	SILVER	9	1.0	
LX-042da2e637	אָמַר	PAAL	unimorph_heb	GOLD	9	1.0	
LX-445cda1ca3	אָץ	PAAL	unimorph_heb	SILVER	9	1.0	
LX-202db61ffe	אֻבְטַח		unimorph_heb	QUESTIONABLE	9	1.0	
LX-16090f6c24	אוֹנֵן	PIEL	unimorph_heb	SILVER	9	1.0	
LX-bd5b8d806e	בִּטֵּא	PIEL	unimorph_heb	GOLD	9	1.0	
LX-cd0c117aac	בִּכָּה	PIEL	unimorph_heb	SILVER	9	1.0	
LX-c8a888740b	בִּלְבֵּל	PIEL	unimorph_heb	SILVER	9	1.0	
LX-739bec155a	בִּלָּה	PIEL	unimorph_heb	SILVER	9	1.0	
LX-9af9390a84	בִּקֵּר	PIEL	unimorph_heb	SILVER	9	1.0	
LX-a97e8484bf	בִּשֵּׁל	PIEL	unimorph_heb	GOLD	9	1.0	
LX-479fe41b4f	בֵּאֵס	PIEL	unimorph_heb	GOLD	9	1.0	
LX-4c81f38b6a	בָּא	PAAL	unimorph_heb	GOLD	9	1.0	
LX-1e673925d8	בָּגַד	PAAL	unimorph_heb	SILVER	9	1.0	
LX-a2d4cd4ef4	בָּדַק	PAAL	unimorph_heb	SILVER	9	1.0	
LX-741b821482	בָּדָה	PAAL	unimorph_heb	SILVER	9	1.0	
LX-f5a3110c70	בָּחַר	PAAL	unimorph_heb	SILVER	9	1.0	
LX-f5741c51d2	בָּטַח	PAAL	unimorph_heb	SILVER	9	1.0	
LX-a15ae8bb13	בָּכָה	PAAL	unimorph_heb	SILVER	9	1.0	
LX-809e9f7de7	בָּלַע	PAAL	unimorph_heb	SILVER	9	1.0	
LX-ea77133061	בָּלָה	PAAL	unimorph_heb	SILVER	9	1.0	
LX-5d28d2a61e	בָּרַח	PAAL	unimorph_heb	GOLD	9	1.0	
LX-2fc0487e27	בֻּטַּל	PUAL	unimorph_heb	SILVER	9	1.0	
LX-e9ecf1fa4a	בֻּטָּא	PUAL	unimorph_heb	GOLD	9	1.0	
LX-fbe233163f	גִּלְגֵּל	PIEL	unimorph_heb	GOLD	9	1.0	
LX-6b83b9c2bd	גִּלֵּחַ	PIEL	unimorph_heb	SILVER	9	1.0	
LX-4ba42bef9c	גָּזַר	PAAL	unimorph_heb	SILVER	9	1.0	
LX-ff7f82d286	גָּלָה	PAAL	unimorph_heb	SILVER	9	1.0	
LX-a850898d95	גָּמַר	PAAL	unimorph_heb	SILVER	9	1.0	
LX-17e67356d1	גָּנַב	PAAL	unimorph_heb	SILVER	9	1.0	
LX-2e8b88fd4d	גָּרַם	PAAL	unimorph_heb	SILVER	9	1.0	
LX-819d01186a	גֻּלָּה	PUAL	unimorph_heb	SILVER	9	1.0	
LX-6165cd1c2a	דִּבֵּר	PIEL	unimorph_heb	GOLD	9	1.0	
LX-63e472a7fb	דִּכֵּא	PIEL	unimorph_heb	SILVER	9	1.0	
LX-6f3c35b207	דִּמֵּם	PIEL	unimorph_heb	GOLD	9	1.0	
LX-faedff9d1f	דָּג	PAAL	unimorph_heb	SILVER	9	1.0	
LX-7e7c361128	דָּלָה	PAAL	unimorph_heb	SILVER	9	1.0	
LX-dc8e6a82ec	דָּמָה	PAAL	unimorph_heb	SILVER	9	1.0	
LX-42b57ae79e	דָּפַק	PAAL	unimorph_heb	SILVER	9	1.0	
LX-a991ea9ba9	דָּקַר	PAAL	unimorph_heb	QUESTIONABLE	9	1.0	
LX-0d112e9865	דָּר	PAAL	unimorph_heb	SILVER	9	1.0	
LX-57d102f7a1	דָּרַשׁ	PAAL	unimorph_heb	SILVER	9	1.0	
LX-bd8d081d7a	דֻּכָּא	PUAL	unimorph_heb	SILVER	9	1.0	
LX-67c9dc861d	הִבְלִיעַ		unimorph_heb	QUESTIONABLE	9	1.0	
LX-a411466c59	הִבִּיט	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-3e6985e3c8	הִגִּיעַ	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-0365751b4c	הִדְלִיק	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-10a8c597e8	הִזְכִּיר	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-03d0a49dbc	הִכְחִישׁ	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-41a9722335	הִכְשִׁיר	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-b2ef87ee2c	הִכִּיר	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-a2fa6ff0d1	הִמְצִיא	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-915582e34b	הִסְבִּיר	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-859c0a3e6b	הִסְמִיק	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-75064d0966	הִסְתִּיר	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-c24a551a7f	הִסִּיעַ	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-5e2a89adb9	הִפְחִיד		unimorph_heb	QUESTIONABLE	9	1.0	
LX-47455ab9cc	הִפְלִיא		unimorph_heb	QUESTIONABLE	9	1.0	
LX-adc89f33e5	הִפְלִיץ		unimorph_heb	QUESTIONABLE	9	1.0	
LX-4f4b2885d6	הִפְסִיד	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-37c3a23912	הִפְשִׁיט	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-6192a7a203	הִצְחִיק	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-6b0d107388	הִצְלִיחַ	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-108b21f90e	הִצִּיל	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-722e83ef24	הִקְבִּיל		unimorph_heb	QUESTIONABLE	9	1.0	
LX-a48e8319ba	הִקְפִּיא	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-90c8fc6830	הִקְרִיא	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-f6dee4dee4	הִקְרִיס		unimorph_heb	QUESTIONABLE	9	1.0	
LX-e5193defc1	הִקְשִׁיב	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-01501bd7f5	הִקִּיף	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-dfdc540224	הִרְחִיק	HIFIL	unimorph_heb	SILVER	9	1.0	
LX-7cc0fce52d	הִרְכִּיב	HIFIL	unimorph_heb	GOLD	9	1.0	
LX-0860796507	הִשְׁלִיט		unimorph_heb	QUESTIONABLE	9	1.0	
LX-1c873da7a6	הִשְׁמִיד		unimorph_heb	QUESTIONABLE	9	1.0	
LX-b6dd4ef5a9	הִשְׁפִּיעַ		unimorph_heb	QUESTIONABLE	9	1.0	
LX-966fe7f207	הִתְאַבֵּד	HITPAEL	unimorph_heb	GOLD	9	1.0	
LX-fdc31b123d	הִתְאַבֵּךְ	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-b5f86cb852	הִתְאַבֵּל		unimorph_heb	QUESTIONABLE	9	1.0	
LX-b33353af4e	הִתְבַּטֵּא	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-19fbe79dd5	הִתְבַּשֵּׁל	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-d284aaf979	הִתְגַּלְגֵּל	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-828b91b0c3	הִתְוַכֵּחַ	HITPAEL	unimorph_heb	QUESTIONABLE	9	1.0	
LX-6c9df5203f	הִתְחַבֵּא		unimorph_heb	QUESTIONABLE	9	1.0	
LX-816bb52055	הִתְחַבֵּר	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-ca66f4d375	הִתְחַמֵּם	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-caf5449955	הִתְחָרֵט		unimorph_heb	QUESTIONABLE	9	1.0	
LX-279b759703	הִתְכַּנֵּס	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-7598d9bfae	הִתְכַּתֵּב	HITPAEL	unimorph_heb	QUESTIONABLE	9	1.0	
LX-a8183f4292	הִתְכּוֹנֵן	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-e365017775	הִתְכּוֹפֵף	HITPAEL	unimorph_heb	SILVER	9	1.0	
LX-d99a5eb58a	הִתְלַבֵּשׁ	HITPAEL	unimorph_heb	GOLD	9	1.0	
