root_id	root_raw	root_normalized	radical_1	radical_2	radical_3	radical_4	radical_5	root_length	traditional_class	traditional_class_raw	r1_is_nun	r1_is_yod	r1_is_waw	r1_is_alef	r2_is_yod	r2_is_waw	r3_is_he	r3_is_yod	r3_is_alef	rfinal_is_he	r1_is_guttural	r2_is_guttural	r3_is_guttural	has_resh	is_geminate	is_reduplicated_quadriliteral	has_weak_radical	structural_signature	structural_class	sc_strong	sc_final_he	sc_hollow_candidate	sc_initial_nun	sc_initial_yod_waw	sc_geminate	sc_guttural_containing	sc_quadriliteral	root_orthographic	orthographic_root_group_id	n_lexemes	binyanim	source_primary	source_ids	confidence	quality_tier	quality_flags
RT-3dad239027	"{{שרש|אבד|א־ב־ד}}, [[גזרת נפ""א]]"	אבד	א	ב	ד			3	PE_ALEF	"גזרת נפ""א"	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	True	A.C.C	initial_alef	False	False	False	False	False	False	True	False	אבד	RG-3dad239027	3	HITPAEL|PAAL|PIEL	hewiktionary	wikt:conj:p16602:r445684:t0:התפעל עבר|wikt:conj:p16602:r445684:t0:התפעל שם הפועל|wikt:conj:p16602:r445684:t0:פיעל עבר|wikt:conj:p16602:r445684:t0:קל עבר|wikt:conj:p16602:r445684:t0:קל שם הפועל|wikt:entry:p1597:r519104:o0:t0|wikt:entry:p1597:r519104:o1968:t0|wikt:entry:p47093:r425686:o0:t0	0.988	GOLD	
RT-9882de8f3f	{{שרש|אגר|א־ג־ר}}, שלמים	אגר	א	ג	ר			3	SHLEMIM	שלמים	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	True	A.C.R	initial_alef	False	False	False	False	False	False	True	False	אגר	RG-9882de8f3f	1	PAAL	hewiktionary	wikt:entry:p22529:r461215:o25:t0	0.8	SILVER	
RT-71aefe28e6	"{{שרש3|א|מ|ר|א}}, [[גזרת נפ""א]]"	אמר	א	מ	ר			3	PE_ALEF	"גזרת נפ""א"	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	True	A.C.R	initial_alef	False	False	False	False	False	False	True	False	אמר	RG-71aefe28e6	4	HIFIL|HITPAEL|PAAL	hewiktionary	wikt:conj:p32359:r511156:t0:הפעיל עבר|wikt:conj:p32359:r511156:t0:התפעל עבר|wikt:conj:p32359:r511156:t0:קל עבר|wikt:conj:p32359:r511156:t0:קל שם הפועל|wikt:entry:p20369:r519536:o98:t0|wikt:entry:p51321:r424550:o0:t0|wikt:entry:p58536:r414574:o0:t0|wikt:entry:p61300:r522806:o406:t0	0.988	GOLD	
RT-f9311c4c6e	{{שרש3|א|ו|ץ}}	אוצ	א	ו	צ			3			False	False	False	True	False	True	False	False	False	False	True	False	False	False	False	False	True	A.W.C	hollow_candidate	False	False	True	False	False	False	True	False	אוצ	RG-f9311c4c6e	2	?|PAAL	hewiktionary	wikt:entry:p51267:r519978:o0:t0|wikt:entry:p62510:r474643:o1:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-8c55116304	"{{שרש3|א|ו|ן|גזרה=נע""ו/י}}"	אונ	א	ו	נ			3			False	False	False	True	False	True	False	False	False	False	True	False	False	False	False	False	True	A.W.N	hollow_candidate	False	False	True	False	False	False	True	False	אונ	RG-8c55116304	2	HITPAEL|PIEL	hewiktionary	wikt:entry:p33947:r493690:o0:t0|wikt:entry:p6754:r498812:o0:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-0a80ec9b56	"{{שרש3|ב|ט|א}}, [[גזרת נל""א]]"	בטא	ב	ט	א			3	LAMED_ALEF	"גזרת נל""א"	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	C.C.A	final_alef	False	False	False	False	False	False	True	False	בטא	RG-0a80ec9b56	4	HITPAEL|PAAL|PIEL|PUAL	hewiktionary	wikt:conj:p31377:r360378:t0:התפעל עבר|wikt:conj:p31377:r360378:t0:התפעל שם הפועל|wikt:conj:p31377:r360378:t0:פועל עבר|wikt:conj:p31377:r360378:t0:פיעל עבר|wikt:conj:p31377:r360378:t0:פיעל שם הפועל|wikt:conj:p31377:r360378:t0:קל עבר|wikt:entry:p31375:r517575:o1173:t0|wikt:entry:p31375:r517575:o2486:t0|wikt:entry:p31375:r517575:o47:t0	0.988	GOLD	
RT-70dd45ab73	{{שרש3|ב|כ|ה}}	בכה	ב	כ	ה			3			False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	True	C.C.H	final_he	False	True	False	False	False	False	True	False	בכה	RG-70dd45ab73	2	PAAL|PIEL	hewiktionary	wikt:entry:p46624:r513282:o1:t0|wikt:entry:p46624:r513282:o2754:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-67a49f52e0	ב-ל־ב־ל	בלבל	ב	ל	ב	ל		4			False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	C.C.C.C	quadriliteral	False	False	False	False	False	False	False	True	בלבל	RG-67a49f52e0	2	HITPAEL|PIEL	hewiktionary	wikt:conj:p22283:r275563:t0:התפעל עבר|wikt:conj:p22283:r275563:t0:התפעל שם הפועל|wikt:conj:p22283:r275563:t0:פיעל עבר|wikt:conj:p22283:r275563:t0:פיעל שם הפועל	0.94	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-16bf270443	{{שרש3|ב|ל|ה}}	בלה	ב	ל	ה			3			False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	True	C.C.H	final_he	False	True	False	False	False	False	True	False	בלה	RG-16bf270443	2	PAAL|PIEL	hewiktionary	wikt:entry:p46495:r520301:o0:t0|wikt:entry:p46495:r520301:o1816:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
RT-e0651963bb	{{שרש3|ב|ק|ר|ג|גזרה=השלמים}}	בקר	ב	ק	ר			3			False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	C.C.R	strong	True	False	False	False	False	False	False	False	בקר	RG-e0651963bb	1	PIEL	hewiktionary	wikt:entry:p5141:r521059:o6575:t0	0.8	SILVER	TRADITIONAL_CLASS_NOT_STATED
