form_id	lexeme_id	root_id	form_raw	form_nfc	form_vocalized	form_unvocalized	form_stripped	form_vocalized_variants	form_unvocalized_variants	pos	finiteness	tense	aspect	mood	person	number	gender	voice	binyan	canonical_cell	is_past_cell	unimorph_tag_raw	is_syncretic	syncretism_group	is_syncretic_unvocalized	syncretism_group_unvocalized	plene_consistent	wiktionary_corroborated	ud_attested	is_attested	is_generated	source_primary	source_ids	confidence	quality_tier	quality_flags
SYN-LX-00045e119a.PST.1SG	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסַנְתִּי	נִדְסַנְתִּי	נִדְסַנְתִּי	נדסנתי	נדסנתי			V	FIN	PST	NA	IND	1	SG	NA	NA	NIFAL	PST.1SG	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.1SG	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.2MSG	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסַנְתָּ	נִדְסַנְתָּ	נִדְסַנְתָּ	נדסנת	נדסנת			V	FIN	PST	NA	IND	2	SG	MASC	NA	NIFAL	PST.2MSG	True		False		True	SYN-LX-00045e119a:U1	True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.2MSG	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.2FSG	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסַנְתְּ	נִדְסַנְתְּ	נִדְסַנְתְּ	נדסנת	נדסנת			V	FIN	PST	NA	IND	2	SG	FEM	NA	NIFAL	PST.2FSG	True		False		True	SYN-LX-00045e119a:U1	True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.2FSG	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.3MSG	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסַן	נִדְסַן	נִדְסַן	נדסן	נדסן			V	FIN	PST	NA	IND	3	SG	MASC	NA	NIFAL	PST.3MSG	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.3MSG	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.3FSG	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסְנָה	נִדְסְנָה	נִדְסְנָה	נדסנה	נדסנה			V	FIN	PST	NA	IND	3	SG	FEM	NA	NIFAL	PST.3FSG	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.3FSG	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.1PL	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסַנְנוּ	נִדְסַנְנוּ	נִדְסַנְנוּ	נדסננו	נדסננו			V	FIN	PST	NA	IND	1	PL	NA	NA	NIFAL	PST.1PL	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.1PL	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.2MPL	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסַנְתֶּם	נִדְסַנְתֶּם	נִדְסַנְתֶּם	נדסנתם	נדסנתם			V	FIN	PST	NA	IND	2	PL	MASC	NA	NIFAL	PST.2MPL	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.2MPL	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.2FPL	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסַנְתֶּן	נִדְסַנְתֶּן	נִדְסַנְתֶּן	נדסנתן	נדסנתן			V	FIN	PST	NA	IND	2	PL	FEM	NA	NIFAL	PST.2FPL	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.2FPL	1.0	GOLD	SYNTHETIC
SYN-LX-00045e119a.PST.3PL	SYN-LX-00045e119a	SYN-RT-73c675b4c9	נִדְסְנוּ	נִדְסְנוּ	נִדְסְנוּ	נדסנו	נדסנו			V	FIN	PST	NA	IND	3	PL	NA	NA	NIFAL	PST.3PL	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:NIFAL:PST.3PL	1.0	GOLD	SYNTHETIC
SYN-LX-0008e7d689.PST.1SG	SYN-LX-0008e7d689	SYN-RT-5de2ae1b0f	הִטְצַסְתִּי	הִטְצַסְתִּי	הִטְצַסְתִּי	הטצסתי	הטצסתי			V	FIN	PST	NA	IND	1	SG	NA	NA	HIFIL	PST.1SG	True		False		False		True		False	False	True	synthetic_v1	synthetic_v1:template:HIFIL:PST.1SG	1.0	GOLD	SYNTHETIC
