view	split	strategy	seed	partition	examples_voc	examples_unv	pair_ids	forms	lexemes	roots	orthographic_root_groups	root_binyan_pairs	targets_identical_to_an_exposed_form_voc	targets_identical_to_an_exposed_form_unv
past_reinflection	iid_seed0	iid	0	train	5275	5224	5275	5275	832	599	597	832		
past_reinflection	iid_seed0	iid	0	dev	660	655	660	660	467	384	382	467		
past_reinflection	iid_seed0	iid	0	test	659	651	659	659	491	399	398	491		
past_reinflection	lexeme_holdout_seed0	lexeme_holdout	0	train	5267	5203	5267	5267	666	505	504	666		
past_reinflection	lexeme_holdout_seed0	lexeme_holdout	0	dev	663	663	663	663	83	80	80	83		
past_reinflection	lexeme_holdout_seed0	lexeme_holdout	0	test	664	664	664	664	83	80	80	83		
past_reinflection	root_holdout_seed0	root_holdout	0	train	5245	5189	5245	5245	662	480	478	662		
past_reinflection	root_holdout_seed0	root_holdout	0	dev	685	677	685	685	87	59	59	87		
past_reinflection	root_holdout_seed0	root_holdout	0	test	664	664	664	664	83	60	60	83		
past_reinflection	root_binyan_holdout_seed0	root_binyan_holdout	0	train	5277	5229	5277	5277	666	599	597	666		
past_reinflection	root_binyan_holdout_seed0	root_binyan_holdout	0	dev	659	659	659	659	83	74	74	83		
past_reinflection	root_binyan_holdout_seed0	root_binyan_holdout	0	test	658	642	658	658	83	69	69	83		
past_reinflection	cell_k2_seed0	cell_k	0	train	818	810	818	818	818	589	587	818		
past_reinflection	cell_k2_seed0	cell_k	0	dev	574	574	574	574	82	78	78	82	0.0	32.0
past_reinflection	cell_k2_seed0	cell_k	0	test	5152	5096	5152	5152	736	544	542	736	0.0	186.0
past_reinflection	cell_k4_seed0	cell_k	0	train	2454	2430	2454	2454	818	589	587	818		
past_reinflection	cell_k4_seed0	cell_k	0	dev	410	410	410	410	82	81	81	82	0.0	50.0
past_reinflection	cell_k4_seed0	cell_k	0	test	3680	3640	3680	3680	736	537	535	736	0.0	423.0
past_reinflection	cell_k6_seed0	cell_k	0	train	4090	4050	4090	4090	818	589	587	818		
past_reinflection	cell_k6_seed0	cell_k	0	dev	246	246	246	246	82	82	82	82	0.0	48.0
past_reinflection	cell_k6_seed0	cell_k	0	test	2208	2184	2208	2208	736	544	543	736	0.0	419.0
past_reinflection	cell_k8_seed0	cell_k	0	train	5726	5670	5726	5726	818	589	587	818		
past_reinflection	cell_k8_seed0	cell_k	0	dev	82	81	82	82	82	80	80	82	0.0	21.0
past_reinflection	cell_k8_seed0	cell_k	0	test	736	729	736	736	736	539	537	736	0.0	183.0
past_reinflection	iid_seed1	iid	1	train	5275	5228	5275	5275	832	599	597	832		
past_reinflection	iid_seed1	iid	1	dev	660	650	660	660	460	387	385	460		
past_reinflection	iid_seed1	iid	1	test	659	652	659	659	457	372	372	457		
past_reinflection	lexeme_holdout_seed1	lexeme_holdout	1	train	5276	5228	5276	5276	666	506	505	666		
past_reinflection	lexeme_holdout_seed1	lexeme_holdout	1	dev	659	643	659	659	83	80	80	83		
past_reinflection	lexeme_holdout_seed1	lexeme_holdout	1	test	659	659	659	659	83	78	78	83		
past_reinflection	root_holdout_seed1	root_holdout	1	train	5313	5249	5313	5313	670	480	478	670		
past_reinflection	root_holdout_seed1	root_holdout	1	dev	609	609	609	609	78	59	59	78		
past_reinflection	root_holdout_seed1	root_holdout	1	test	672	672	672	672	84	60	60	84		
past_reinflection	root_binyan_holdout_seed1	root_binyan_holdout	1	train	5272	5240	5272	5272	666	599	597	666		
past_reinflection	root_binyan_holdout_seed1	root_binyan_holdout	1	dev	658	634	658	658	83	69	69	83		
past_reinflection	root_binyan_holdout_seed1	root_binyan_holdout	1	test	664	656	664	664	83	74	74	83		
past_reinflection	cell_k2_seed1	cell_k	1	train	818	810	818	818	818	589	587	818		
past_reinflection	cell_k2_seed1	cell_k	1	dev	574	567	574	574	82	76	76	82	0.0	24.0
past_reinflection	cell_k2_seed1	cell_k	1	test	5152	5103	5152	5152	736	550	548	736	0.0	208.0
past_reinflection	cell_k4_seed1	cell_k	1	train	2454	2430	2454	2454	818	589	587	818		
past_reinflection	cell_k4_seed1	cell_k	1	dev	410	405	410	410	82	81	81	82	0.0	35.0
past_reinflection	cell_k4_seed1	cell_k	1	test	3680	3645	3680	3680	736	535	534	736	0.0	410.0
past_reinflection	cell_k6_seed1	cell_k	1	train	4090	4050	4090	4090	818	589	587	818		
past_reinflection	cell_k6_seed1	cell_k	1	dev	246	243	246	246	82	81	81	82	0.0	46.0
past_reinflection	cell_k6_seed1	cell_k	1	test	2208	2187	2208	2208	736	541	540	736	0.0	406.0
past_reinflection	cell_k8_seed1	cell_k	1	train	5726	5670	5726	5726	818	589	587	818		
past_reinflection	cell_k8_seed1	cell_k	1	dev	82	81	82	82	82	81	81	82	0.0	22.0
past_reinflection	cell_k8_seed1	cell_k	1	test	736	729	736	736	736	542	540	736	0.0	181.0
past_reinflection	iid_seed2	iid	2	train	5275	5223	5275	5275	831	599	597	831		
past_reinflection	iid_seed2	iid	2	dev	660	654	660	660	475	380	380	475		
past_reinflection	iid_seed2	iid	2	test	659	653	659	659	461	376	375	461		
past_reinflection	lexeme_holdout_seed2	lexeme_holdout	2	train	5271	5223	5271	5271	666	506	504	666		
past_reinflection	lexeme_holdout_seed2	lexeme_holdout	2	dev	659	651	659	659	83	79	79	83		
past_reinflection	lexeme_holdout_seed2	lexeme_holdout	2	test	664	656	664	664	83	82	82	83		
past_reinflection	root_holdout_seed2	root_holdout	2	train	5266	5210	5266	5266	664	480	478	664		
past_reinflection	root_holdout_seed2	root_holdout	2	dev	688	680	688	688	88	59	59	88		
past_reinflection	root_holdout_seed2	root_holdout	2	test	640	640	640	640	80	60	60	80		
past_reinflection	root_binyan_holdout_seed2	root_binyan_holdout	2	train	5277	5261	5277	5277	666	599	597	666		
past_reinflection	root_binyan_holdout_seed2	root_binyan_holdout	2	dev	654	614	654	654	83	72	72	83		
past_reinflection	root_binyan_holdout_seed2	root_binyan_holdout	2	test	663	655	663	663	83	63	63	83		
past_reinflection	cell_k2_seed2	cell_k	2	train	818	810	818	818	818	589	587	818		
past_reinflection	cell_k2_seed2	cell_k	2	dev	574	574	574	574	82	78	78	82	0.0	22.0
