form_id	lexeme_id	root_id	form_raw	form_nfc	form_vocalized	form_unvocalized	form_stripped	form_vocalized_variants	form_unvocalized_variants	pos	finiteness	tense	aspect	mood	person	number	gender	voice	binyan	canonical_cell	is_past_cell	unimorph_tag_raw	is_syncretic	syncretism_group	is_syncretic_unvocalized	syncretism_group_unvocalized	plene_consistent	wiktionary_corroborated	ud_attested	is_attested	is_generated	source_primary	source_ids	confidence	quality_tier	quality_flags
LX-00018e7d56.PST.1SG	LX-00018e7d56	RT-0891939731	כָּאַבְתִּי	כָּאַבְתִּי	כָּאַבְתִּי	כאבתי	כאבתי			V	FIN	PST	NA	IND	1	SG	NA	NA	PAAL	PST.1SG	True	V;1;SG;PST	False		False		True		False	True	False	unimorph_heb	heb_voc:25087|heb:24913	0.8	SILVER	
LX-00018e7d56.PST.2MSG	LX-00018e7d56	RT-0891939731	כָּאַבְתָּ	כָּאַבְתָּ	כָּאַבְתָּ	כאבת	כאבת			V	FIN	PST	NA	IND	2	SG	MASC	NA	PAAL	PST.2MSG	True	V;2;SG;PST;MASC	False		True	LX-00018e7d56:U1	True		False	True	False	unimorph_heb	heb_voc:25088|heb:24911	0.8	SILVER	
LX-00018e7d56.PST.2FSG	LX-00018e7d56	RT-0891939731	כָּאַבְתְּ	כָּאַבְתְּ	כָּאַבְתְּ	כאבת	כאבת			V	FIN	PST	NA	IND	2	SG	FEM	NA	PAAL	PST.2FSG	True	V;2;SG;PST;FEM	False		True	LX-00018e7d56:U1	True		False	True	False	unimorph_heb	heb_voc:25086|heb:24912	0.8	SILVER	
LX-00018e7d56.PST.3MSG	LX-00018e7d56	RT-0891939731	כָּאַב	כָּאַב	כָּאַב	כאב	כאב			V	FIN	PST	NA	IND	3	SG	MASC	NA	PAAL	PST.3MSG	True	V;3;SG;PST;MASC	False		True	LX-00018e7d56:U2	True		False	True	False	unimorph_heb	heb_voc:25084|heb:24902	0.8	SILVER	
LX-00018e7d56.PST.3FSG	LX-00018e7d56	RT-0891939731	כָּאֲבָה	כָּאֲבָה	כָּאֲבָה	כאבה	כאבה			V	FIN	PST	NA	IND	3	SG	FEM	NA	PAAL	PST.3FSG	True	V;3;SG;PST;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:25082|heb:24905	0.8	SILVER	
LX-00018e7d56.PST.1PL	LX-00018e7d56	RT-0891939731	כָּאַבְנוּ	כָּאַבְנוּ	כָּאַבְנוּ	כאבנו	כאבנו			V	FIN	PST	NA	IND	1	PL	NA	NA	PAAL	PST.1PL	True	V;1;PL;PST	False		False		True		False	True	False	unimorph_heb	heb_voc:25085|heb:24910	0.8	SILVER	
LX-00018e7d56.PST.2MPL	LX-00018e7d56	RT-0891939731	כְּאַבְתֶּם	כְּאַבְתֶּם	כְּאַבְתֶּם	כאבתם	כאבתם			V	FIN	PST	NA	IND	2	PL	MASC	NA	PAAL	PST.2MPL	True	V;2;PL;PST;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:25078|heb:24914	0.8	SILVER	
LX-00018e7d56.PST.2FPL	LX-00018e7d56	RT-0891939731	כְּאַבְתֶּן	כְּאַבְתֶּן	כְּאַבְתֶּן	כאבתן	כאבתן			V	FIN	PST	NA	IND	2	PL	FEM	NA	PAAL	PST.2FPL	True	V;2;PL;PST;FEM	False		False		True		False	True	False	unimorph_heb	heb_voc:25079|heb:24915	0.8	SILVER	
LX-00018e7d56.PST.3PL	LX-00018e7d56	RT-0891939731	כָּאֲבוּ	כָּאֲבוּ	כָּאֲבוּ	כאבו	כאבו			V	FIN	PST	NA	IND	3	PL	NA	NA	PAAL	PST.3PL	True	V;3;PL;PST	False		True	LX-00018e7d56:U3	True		False	True	False	unimorph_heb	heb_voc:25083|heb:24906	0.8	SILVER	
LX-00018e7d56.PRS.MSG	LX-00018e7d56	RT-0891939731	כּוֹאֵב	כּוֹאֵב	כּוֹאֵב	כואב	כואב			V	FIN	PRS	NA	IND	NA	SG	MASC	NA	PAAL	PRS.MSG	False	V;SG;PRS;MASC	False		False		True		False	True	False	unimorph_heb	heb_voc:25092|heb:24916	0.8	SILVER	
